N°,Provincia,Rep.,Densidad,Punto_crioscópico,Proteína,Lactosa,Materia_grasa,Sólidos_totales,Bacterias_aerobias_mesófilas,Coliformes_totales
1,1,1,1.029,-0.560,3.2,4.8,3.9,11.9,2.49,2.48
2,1,2,1.032,-0.620,3.5,4.9,4.5,12.9,2.51,2.30
3,1,3,1.015,-0.300,2.7,4.1,3.7,10.5,2.50,2.30
4,1,4,1.021,-0.420,2.4,4.1,4.9,11.4,2.53,3.41
5,1,5,1.021,-0.420,2.4,4.1,4.9,11.4,3.08,2.30
6,1,6,1.031,-0.590,3.3,5.0,4.2,12.5,2.65,3.26
7,1,7,1.029,-0.540,3.1,4.7,3.2,11.0,3.41,3.85
8,1,8,1.032,-0.620,3.5,5.3,4.5,13.3,3.48,3.30
9,1,9,1.029,-0.570,3.2,4.8,4.8,12.8,3.75,3.30
10,1,10,1.031,-0.590,3.3,2.7,4.0,10.0,3.00,3.85
11,1,11,1.026,-0.510,2.9,4.3,5.0,12.2,3.85,3.70
12,1,12,1.031,-0.590,3.3,5.0,4.0,12.3,3.00,3.18
13,1,13,1.030,-0.580,3.3,4.9,4.7,12.9,2.74,3.60
14,1,14,1.027,-0.530,3.0,4.6,4.6,12.2,2.78,3.00
15,1,15,1.029,-0.560,3.2,4.8,3.9,11.9,2.49,1.70
16,1,16,1.028,-0.490,3.1,4.4,3.4,10.9,2.66,1.90
17,1,17,1.027,-0.510,3.3,4.6,3.6,11.5,2.40,3.30
18,1,18,1.028,-0.510,3.0,4.1,3.6,10.7,3.00,3.23
19,1,19,1.027,-0.510,3.5,4.5,4.0,12.0,3.60,3.70
20,1,20,1.028,-0.490,3.5,4.2,3.5,11.2,2.70,2.00
21,1,21,1.029,-0.510,3.2,2.7,4.0,9.9,3.70,3.00
22,1,22,1.028,-0.580,3.5,5.3,5.0,13.8,3.85,2.70
23,1,23,1.029,-0.566,3.2,4.8,4.7,12.7,2.08,2.48
24,1,24,1.029,-0.571,3.2,4.8,4.5,12.5,1.78,1.00
25,1,25,1.030,-0.566,3.2,4.8,3.5,11.5,2.30,3.18
26,1,26,1.029,-0.549,3.1,4.7,3.4,11.2,3.28,2.65
27,1,27,1.031,-0.587,3.3,5.0,3.6,11.9,2.08,2.11
28,1,28,1.029,-0.563,4.1,4.8,3.7,12.6,3.60,2.78
29,1,29,1.030,-0.563,3.1,3.9,3.5,10.5,3.51,1.78
30,1,30,1.030,-0.582,3.3,4.9,4.2,12.4,2.00,3.11
31,1,31,1.030,-0.584,3.3,4.9,4.3,12.5,1.00,2.30
